"augmix","deepetpicker","id","meanshift","model","n_particles","name","nms_v2","notes","self_supervised","self_supervised_every","shrec/epoch","shrec/shrec_classification_f1_macro","shrec/shrec_classification_f1_micro","shrec/shrec_localization_avg_distance","shrec/shrec_localization_f1","shrec/shrec_n_unique_particles_found","shrec/shrec_n_unique_particles_not_found","shrec/shrec_val2_classification_f1_macro","shrec/shrec_val2_classification_f1_micro","shrec/shrec_val2_localization_avg_distance","shrec/shrec_val2_localization_f1","shrec/shrec_val2_n_unique_particles_found","shrec/shrec_val2_n_unique_particles_not_found","shrec/shrec_val4_classification_f1_macro","shrec/shrec_val4_classification_f1_micro","shrec/shrec_val4_localization_avg_distance","shrec/shrec_val4_localization_f1","shrec/shrec_val4_n_unique_particles_found","shrec/shrec_val4_n_unique_particles_not_found","shrec/shrec_val_classification_f1_macro","shrec/shrec_val_classification_f1_micro","shrec/shrec_val_localization_avg_distance","shrec/shrec_val_localization_f1","shrec/shrec_val_n_unique_particles_found","shrec/shrec_val_n_unique_particles_not_found"
"false","false","my076hf1","false","mae","-1","fancy-grass-290","false","fp32 mae full shot","false","400","100","0.012311762311762313","0.07731629392971245","2.6864018241261776","0.6486349848331648","1283","282","0.02022594752186589","0.10296846011131726","3.4885404482527393","0.4222082810539523","673","405","0.013158976889546838","0.09054895302773061","2.334130046585329","0.7550873832894422","1577","190","0.009914712153518123","0.06924795234549516","2.5825125519638985","0.6758807588075881","1247","96"
"false","false","my076hf1","false","mae","-1","fancy-grass-290","false","fp32 mae full shot","false","400","200","0.012804232804232804","0.07731629392971245","2.5766521267949263","0.6929799830842965","1229","336","0.020200181983621474","0.10296846011131726","3.1677142612435625","0.47501759324419424","675","403","0.014333161836163037","0.09054895302773061","2.34982793088023","0.7440289505428227","1542","225","0.010141766630316249","0.06924795234549516","2.764847685869923","0.6417281348788199","1218","125"
"false","false","my076hf1","false","mae","-1","fancy-grass-290","false","fp32 mae full shot","false","400","300","0.014002724283555363","0.07795527156549521","2.8176907602536674","0.6022304832713754","1215","350","0.023848844187827237","0.10482374768089053","3.3961706666390987","0.42787682333873583","660","418","0.018951603170133162","0.0933786078098472","2.645041028628956","0.6041090478071908","1529","238","0.010323010323010322","0.06924795234549516","2.936206497105827","0.5527522935779816","1205","138"
"false","false","my076hf1","false","mae","-1","fancy-grass-290","false","fp32 mae full shot","false","400","400","0.013484826554735369","0.07795527156549521","2.9635753252205665","0.5703387929100292","1271","294","0.021846356408568388","0.10296846011131726","3.3897263278178347","0.43036346091990996","669","409","0.02173522648750151","0.09620826259196379","2.8136529195207673","0.5449808961444945","1569","198","0.011231056129015312","0.06999255398361877","3.0122783637651724","0.48601811736904293","1234","109"
"false","false","my076hf1","false","mae","-1","fancy-grass-290","false","fp32 mae full shot","false","400","500","0.017639789645190532","0.08051118210862619","2.9191929296599675","0.5553555355535554","1234","331","0.026487190620929222","0.10667903525046382","3.443164800043039","0.39519202579888596","674","404","0.02375204687853088","0.0967741935483871","2.7504227805696084","0.5356154910096819","1549","218","0.012904395836901656","0.07148175725986597","2.980959281930907","0.46868534888094787","1246","97"
"false","false","my076hf1","false","mae","-1","fancy-grass-290","false","fp32 mae full shot","false","400","600","0.014246870995140484","0.07859424920127796","3.0860019863789128","0.42725477287689273","1298","267","0.02322104396129891","0.10482374768089053","3.672668624740026","0.355164380015532","686","392","0.01818297617085298","0.09394453876627051","3.0592778274633923","0.4069723380068208","1611","156","0.010243418878731137","0.06924795234549516","3.220191982650129","0.3660987330712101","1257","86"
"false","false","my076hf1","false","mae","-1","fancy-grass-290","false","fp32 mae full shot","false","400","700","0.016158461504018628","0.07987220447284345","2.800433864822547","0.5532726117348019","1306","259","0.02416286585226101","0.10575139146567718","3.3092721493448303","0.411987198137911","708","370","0.02527027545791619","0.09847198641765705","2.702575848651161","0.5422750424448217","1597","170","0.01293028030188151","0.07148175725986597","2.8596382120224186","0.47252336448598126","1264","79"
"false","false","my076hf1","false","mae","-1","fancy-grass-290","false","fp32 mae full shot","false","400","800","0.01913026929559261","0.0817891373801917","2.8975609905411175","0.5418698325206699","1278","287","0.024882691031759357","0.10482374768089053","3.4346013913291893","0.4400785854616896","672","406","0.026326549827161823","0.09960384833050367","2.8463776474896743","0.5297699594046008","1566","201","0.014052314553540293","0.07222635889798958","2.998132769311215","0.4815458937198068","1246","97"
"false","false","my076hf1","false","mae","-1","fancy-grass-290","false","fp32 mae full shot","false","400","900","0.023510742284115507","0.08498402555910543","2.873570517535649","0.5528129864354013","1243","322","0.03066858322276279","0.10946196660482375","3.4688416773390482","0.4330836860957343","665","413","0.030050241729073845","0.1041312959818902","2.749308073641006","0.550397175639894","1559","208","0.01866084213960739","0.0766939687267312","3.035151533625873","0.48165314793356506","1247","96"
"false","true","8vesoghz","false","deepetpicker","-1","golden-field-289","false","fp32 deepetpicker full shot","false","400","100","0.32743837400702747","0.41214057507987223","2.4755030713073283","0.61295590636908","1126","439","0.18570792171049819","0.26716141001855287","2.8145124141991618","0.36322743885296593","646","432","0.3383509302737847","0.43406904357668363","2.3803687132219205","0.5963684095383943","1363","404","0.2575984212979037","0.344005956813105","2.463563020751408","0.5846829536096624","1065","278"
